source_id,source_name,quantity,reference_key,url,catalogue_locator
32,J0024-7204T,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 139 (snapshot 2025-12-25)
33,J0024-7204U,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 140 (snapshot 2025-12-25)
33,J0024-7204U,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 140 (snapshot 2025-12-25)
34,J0024-7204X,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 142 (snapshot 2025-12-25)
34,J0024-7204X,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 142 (snapshot 2025-12-25)
35,J0024-7204Y,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 143 (snapshot 2025-12-25)
35,J0024-7204Y,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 143 (snapshot 2025-12-25)
36,J0024-7204Z,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 144 (snapshot 2025-12-25)
36,J0024-7204Z,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 144 (snapshot 2025-12-25)
37,J0024-7204aa,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 145 (snapshot 2025-12-25)
37,J0024-7204aa,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 145 (snapshot 2025-12-25)
38,J0024-7204ab,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 146 (snapshot 2025-12-25)
38,J0024-7204ab,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 146 (snapshot 2025-12-25)
39,J0030+0451,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 147 (snapshot 2025-12-25)
39,J0030+0451,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 147 (snapshot 2025-12-25)
40,J0034-0534,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 148 (snapshot 2025-12-25)
40,J0034-0534,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 148 (snapshot 2025-12-25)
41,J0101-6422,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 149 (snapshot 2025-12-25)
41,J0101-6422,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 149 (snapshot 2025-12-25)
42,J0218+4232,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 150 (snapshot 2025-12-25)
42,J0218+4232,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 150 (snapshot 2025-12-25)
43,J0307+7443,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 151 (snapshot 2025-12-25)
43,J0307+7443,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 151 (snapshot 2025-12-25)
44,J0337+1715,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 152 (snapshot 2025-12-25)
44,J0337+1715,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 152 (snapshot 2025-12-25)
45,J0437-4715,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 153 (snapshot 2025-12-25)
45,J0437-4715,thermal,GCGR2019,https://doi.org/10.1093/mnras/stz2941,Xu living Table 2 line 153 (snapshot 2025-12-25)
46,J0613-0200,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 154 (snapshot 2025-12-25)
46,J0613-0200,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 154 (snapshot 2025-12-25)
47,J0614-3329,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 155 (snapshot 2025-12-25)
47,J0614-3329,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 155 (snapshot 2025-12-25)
48,J0636+5128,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 156 (snapshot 2025-12-25)
48,J0636+5128,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 156 (snapshot 2025-12-25)
49,J0740+6620,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 158 (snapshot 2025-12-25)
49,J0740+6620,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 158 (snapshot 2025-12-25)
50,J0751+1807,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 159 (snapshot 2025-12-25)
50,J0751+1807,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 159 (snapshot 2025-12-25)
51,J0952-0607,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 160 (snapshot 2025-12-25)
51,J0952-0607,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 160 (snapshot 2025-12-25)
52,J1012+5307,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 161 (snapshot 2025-12-25)
52,J1012+5307,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 161 (snapshot 2025-12-25)
53,J1023+0038,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 162 (snapshot 2025-12-25)
53,J1023+0038,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 162 (snapshot 2025-12-25)
54,J1024-0719,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 163 (snapshot 2025-12-25)
54,J1024-0719,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 163 (snapshot 2025-12-25)
55,J1035-6720,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 164 (snapshot 2025-12-25)
55,J1035-6720,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 164 (snapshot 2025-12-25)
56,J1124-3653,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 165 (snapshot 2025-12-25)
56,J1124-3653,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 165 (snapshot 2025-12-25)
57,J1125+7819,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 166 (snapshot 2025-12-25)
57,J1125+7819,thermal,Shibanov2025,https://doi.org/10.1134/S1063773725700288,Xu living Table 2 line 166 (snapshot 2025-12-25)
58,J1227-4853,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 167 (snapshot 2025-12-25)
58,J1227-4853,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 167 (snapshot 2025-12-25)
59,J1231-1411,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 168 (snapshot 2025-12-25)
59,J1231-1411,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 168 (snapshot 2025-12-25)
60,J1306-4035,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 169 (snapshot 2025-12-25)
60,J1306-4035,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 169 (snapshot 2025-12-25)
61,J1300+1240,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 170 (snapshot 2025-12-25)
61,J1300+1240,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 170 (snapshot 2025-12-25)
62,J1311-3430,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 171 (snapshot 2025-12-25)
62,J1311-3430,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 171 (snapshot 2025-12-25)
63,J1326-4728A,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 172 (snapshot 2025-12-25)
63,J1326-4728A,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 172 (snapshot 2025-12-25)
64,J1400-1431,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 174 (snapshot 2025-12-25)
64,J1400-1431,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 174 (snapshot 2025-12-25)
65,J1417-4402,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 175 (snapshot 2025-12-25)
65,J1417-4402,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 175 (snapshot 2025-12-25)
66,J1431-4715,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 176 (snapshot 2025-12-25)
66,J1431-4715,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 176 (snapshot 2025-12-25)
67,J1446-4701,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 177 (snapshot 2025-12-25)
67,J1446-4701,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 177 (snapshot 2025-12-25)
68,J1514-4946,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 178 (snapshot 2025-12-25)
68,J1514-4946,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 178 (snapshot 2025-12-25)
69,J1518+0204C,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 179 (snapshot 2025-12-25)
69,J1518+0204C,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 179 (snapshot 2025-12-25)
70,J1544+4937,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 181 (snapshot 2025-12-25)
70,J1544+4937,thermal,Shibanov2025,https://doi.org/10.1134/S1063773725700288,Xu living Table 2 line 181 (snapshot 2025-12-25)
71,J1602+3901,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 182 (snapshot 2025-12-25)
71,J1602+3901,thermal,Shibanov2025,https://doi.org/10.1134/S1063773725700288,Xu living Table 2 line 182 (snapshot 2025-12-25)
72,J1614-2230,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 183 (snapshot 2025-12-25)
72,J1614-2230,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 183 (snapshot 2025-12-25)
73,J1622-0315,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 184 (snapshot 2025-12-25)
73,J1622-0315,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 184 (snapshot 2025-12-25)
74,J1625-0021,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 186 (snapshot 2025-12-25)
74,J1625-0021,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 186 (snapshot 2025-12-25)
75,J1628-3205,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 187 (snapshot 2025-12-25)
75,J1628-3205,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 187 (snapshot 2025-12-25)
76,J1630+3734,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 188 (snapshot 2025-12-25)
76,J1630+3734,thermal,Shibanov2025,https://doi.org/10.1134/S1063773725700288,Xu living Table 2 line 188 (snapshot 2025-12-25)
77,J1640+2224,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 189 (snapshot 2025-12-25)
77,J1640+2224,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 189 (snapshot 2025-12-25)
78,J1641+3627B,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 190 (snapshot 2025-12-25)
78,J1641+3627B,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 190 (snapshot 2025-12-25)
79,J1641+3627C,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 191 (snapshot 2025-12-25)
79,J1641+3627C,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 191 (snapshot 2025-12-25)
80,J1641+3627E,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 193 (snapshot 2025-12-25)
80,J1641+3627E,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 193 (snapshot 2025-12-25)
81,J1641+3627F,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 194 (snapshot 2025-12-25)
81,J1641+3627F,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 194 (snapshot 2025-12-25)
82,J1643-1224,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 195 (snapshot 2025-12-25)
82,J1643-1224,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 195 (snapshot 2025-12-25)
83,J1653-0158,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 196 (snapshot 2025-12-25)
83,J1653-0158,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 196 (snapshot 2025-12-25)
84,J1658-5324,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 198 (snapshot 2025-12-25)
84,J1658-5324,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 198 (snapshot 2025-12-25)
85,J1701-3006C,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 200 (snapshot 2025-12-25)
85,J1701-3006C,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 200 (snapshot 2025-12-25)
86,J1709+2313,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 201 (snapshot 2025-12-25)
86,J1709+2313,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 201 (snapshot 2025-12-25)
87,J1710+4923,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 202 (snapshot 2025-12-25)
87,J1710+4923,thermal,Shibanov2025,https://doi.org/10.1134/S1063773725700288,Xu living Table 2 line 202 (snapshot 2025-12-25)
88,J1717+4308A,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 203 (snapshot 2025-12-25)
88,J1717+4308A,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 203 (snapshot 2025-12-25)
89,J1723-2837,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 204 (snapshot 2025-12-25)
89,J1723-2837,thermal,Boztepe2020,https://doi.org/10.1093/mnras/staa2503,Xu living Table 2 line 204 (snapshot 2025-12-25)
90,J1730-2304,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 205 (snapshot 2025-12-25)
90,J1730-2304,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 205 (snapshot 2025-12-25)
91,J1731-1847,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 206 (snapshot 2025-12-25)
91,J1731-1847,thermal,Xu2025,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 206 (snapshot 2025-12-25)
92,J1737-0314A,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 207 (snapshot 2025-12-25)
92,J1737-0314A,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 207 (snapshot 2025-12-25)
93,J1740-5340A,spin,XuLive2025,https://xray-pulsar.github.io/counterparts/,Xu living Table 2 line 208 (snapshot 2025-12-25)
93,J1740-5340A,thermal,ZhaoHeinke2022,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 208 (snapshot 2025-12-25)
